type,name,id_or_path,public_url,notes
video,Piece 3 - Aeris Buds Unboxing,/agent/workspace/portfolio/piece3_aeris-unboxing.mp4,https://pub.hyperagent.com/api/published/pbf01KXNBY95B_A7KV813VTBP864ZV/piece3_aeris-unboxing.mp4,"Audit score 91/100 (earbud design resembles AirPods Pro - flagged regen candidate, not acted on). Real-voice remix exists locally, not yet republished."
video,Piece 4 - Penny Fintech Onboarding (rebuild),/agent/workspace/portfolio/piece4_penny-fintech-onboarding.mp4,https://pub.hyperagent.com/api/published/pbf01KXNC0T7D_CTJV4X4N482P40RA/piece4_penny-fintech-onboarding.mp4,"Rebuilt via HTML-mock UI screenshots; re-audit 94/100 PASS (original scored 80 FAIL - generic phone homescreen not fintech app). Real-voice remix exists locally, not yet republished."
video,Piece 5 - LUMA Serum Texture,/agent/workspace/portfolio/piece5_luma-serum-texture.mp4,https://pub.hyperagent.com/api/published/pbf01KXNBY9YC_4EJDMQYXM11M0F4B/piece5_luma-serum-texture.mp4,"Audit score 97/100 - hero piece. Real-voice remix exists locally, not yet republished."
video,Piece 6 - RITUAL B-Roll Montage,/agent/workspace/portfolio/piece6_ritual-broll-montage.mp4,https://pub.hyperagent.com/api/published/pbf01KXNBYAHS_N532EWRYVTM6DXAT/piece6_ritual-broll-montage.mp4,"Audit score 93/100. No voiceover (ASMR b-roll format) - not part of VO swap batch."
video,Piece 7 - Evening Routine,/agent/workspace/portfolio/piece7_evening-routine.mp4,https://pub.hyperagent.com/api/published/pbf01KXNBYB36_TGQV2R6MSZTX893P/piece7_evening-routine.mp4,"Audit score 89/100 (foam-finger ambiguity in criterion C2 flagged as swap candidate, not acted on). Real-voice remix NOT yet produced (assigned to Baritone2 crew, in progress)."
video,Piece 8 - GlowPod Device Demo,/agent/workspace/portfolio/piece8_glowpod-device-demo.mp4,https://pub.hyperagent.com/api/published/pbf01KXNBYC2B_Z7BDJGT4QQP6ED33/piece8_glowpod-device-demo.mp4,"Audit score 92/100. Real-voice remix exists locally, not yet republished."
video,Piece 9 - Digicam ClixShot,/agent/workspace/portfolio/piece9_digicam_clixshot.mp4,https://pub.hyperagent.com/api/published/pbf01KY496JPG_TJNGTTA42MJC3EKR/piece9_digicam_clixshot.mp4,"100% real human-shot footage (Vivitar ClixShot mini digicam, $15 Target); zero AI disclosure needed. Audit ~94/100. Real-voice remix NOT yet produced (assigned to Baritone2 crew, in progress; note VO already real human voice for the ambient bed, VO script vo_p9 to be added)."
raw_footage,Digicam raw clip - packaging (IMG_0028),/agent/stored_files/cmrvpku4y041m07addlon89ke_IMG_0028.mov,,"4s clip, one of 4 raw clips used to build Piece 9. Local copy also at /agent/workspace/digicam_raw/."
raw_footage,Digicam raw clip - box contents (IMG_0029),/agent/stored_files/cmrvpku4h041l07addmnnl7ij_IMG_0029.mov,,"3.5s clip, one of 4 raw clips used to build Piece 9."
raw_footage,Digicam raw clip - screen-on UI (IMG_0032),/agent/stored_files/cmrvplx3103uo06adbqtd4jrn_IMG_0032.mov,,"20.8s clip, one of 4 raw clips used to build Piece 9."
raw_footage,Digicam raw clip - flash/beauty + photo-on-screen (IMG_0031),/agent/stored_files/cmrvmxuw044f07adss33fdte_IMG_0031.mov,,"26.4s clip, one of 4 raw clips used to build Piece 9. Banked for week-3 digicam follow-up video."
raw_footage,The Untechnical brand video - Day01,/agent/stored_files/cmrw1me5v0c1a07ad2ykomnqf_Day01.mp4,,"122s, 1080x1920@30. '4-Part AI Prompt Formula' - user's real second faceless property (@untechnicalsf)."
raw_footage,The Untechnical brand video - feed clip,/agent/stored_files/cmrw1moog0c9p07ad4ochn6uc_feed7f03-9d48-4e1a-b96a-b26eef57c385 2.mp4,,"62s, 'One Prompt = Full Week of Lessons'. Right length for Twine's 60-90s application video IF it has user's voice - pending confirmation."
posting_kit,Posting kit README,/agent/workspace/posting_kit/README.txt,,"1557 bytes."
posting_kit,Posting kit captions and schedule,/agent/workspace/posting_kit/captions_and_schedule.csv,,"2921 bytes. Includes affiliate + AI-toggle disclosure flags."
posting_kit,Posting kit calendar,/agent/workspace/posting_kit/posting_calendar.ics,,"7413 bytes. Defaults Mon Jul 20 2026, 2x/day 8:30am/6:30pm PT."
posting_kit,Posting kit videos folder,/agent/workspace/posting_kit/videos/,,"14 final MP4s named post01-post14."
posting_kit,Posting kit zip part 1 of 3,/agent/workspace/posting_kit_part1of3.zip,,"34727521 bytes."
posting_kit,Posting kit zip part 2 of 3,/agent/workspace/posting_kit_part2of3.zip,,"33641143 bytes."
posting_kit,Posting kit zip part 3 of 3,/agent/workspace/posting_kit_part3of3.zip,,"42356291 bytes."
seasoning_video,Seasoning D02,/agent/workspace/seasoning/d02.mp4,,"Audit score 90/100 (texture macro, beauty)."
seasoning_video,Seasoning D03,/agent/workspace/seasoning/d03.mp4,,"Audit score 91/100 (remove.bg web tool tip, tech)."
seasoning_video,Seasoning D04,/agent/workspace/seasoning/d04.mp4,,"Audit score 87/100, COSRX label-wobble note flagged (K-beauty haul unboxing)."
seasoning_video,Seasoning D05,/agent/workspace/seasoning/d05.mp4,,"Audit score 91/100, produced via duck.ai fallback (AI grocery-list workflow)."
seasoning_video,Seasoning D07,/agent/workspace/seasoning/d07.mp4,,"Audit score 90/100 (AI b-roll meta post / operator bait)."
seasoning_video,Seasoning D08,/agent/workspace/seasoning/d08.mp4,,"Audit score 90/100 (CapCut free vs pro)."
seasoning_video,Seasoning D10,/agent/workspace/seasoning/d10.mp4,,"Audit score 92/100 (learn copywriting with AI in 7 days)."
seasoning_video,Seasoning D12,/agent/workspace/seasoning/d12.mp4,,"Audit score 90/100 (3 free tools replacing paid apps)."
seasoning_video,Seasoning D13,/agent/workspace/seasoning/d13.mp4,,"Audit score 92/100 (shelf reset ASMR / empties)."
seasoning_video,Seasoning D14,/agent/workspace/seasoning/d14.mp4,,"Audit score 91/100 - capstone 'open for collabs' announcement."
vo_memo,VO memo batch (17 files),/agent/workspace/vo_batch/,,"memo1-memo17.mp3, recorded 2026-07-22 ~9:40am. memo6 is a silent dud. Covers all 16 scripts + bonus profile intro. Also contains processed _full.wav variants, all17.mp3, and take-selection files."
vo_memo,VO whisper-cut working directory,/agent/workspace/vo_batch/cuts/,,"In-progress precise whisper-driven take cuts being produced by the currently-running VO-swap crews (Alto2/Baritone2/Chorus2)."
agent_config,Agent config snapshot 1,/agent/stored_files/cmrn6iend046d07adi8gopn7t_agent-config-CRgd9SDJ.json,,"Earlier config snapshot."
agent_config,Agent config snapshot 2,/agent/stored_files/cmrndz3ke067l06adn5br9bpr_agent-config-v2x2XEOJ.json,,"Mid config snapshot."
agent_config,Agent config snapshot 3 (most current),/agent/stored_files/cmrnineys08u307adgl7rcrvr_agent-config-eWpbHKVQ.json,,"Most current: includes Gmail integration + daily 7:30am PT scheduled scan (RRULE:FREQ=DAILY;BYHOUR=7;BYMINUTE=30, America/Los_Angeles, target thread cmrn2omwl04up07adfcsa0orz)."
research_doc,Canva vs Canvas UGC blogpost,/agent/stored_files/cmrndxda006ga07adhl6hj4im_Canva vs Canvas UGC blogpost.docx,,"User-supplied research doc that seeded the Canvas UGC third income lane, added to blueprint 2026-07-16."
research_file,Rejection triggers research,/agent/workspace/rejection_triggers_raw.txt,,"34727 bytes, not fully reviewed by this handoff pass - supporting research/planning artifact."
research_file,Warmup calendar research,/agent/workspace/warmup_calendar_raw.txt,,"32172 bytes, not fully reviewed by this handoff pass - supporting research/planning artifact."
screenshot,User socials documentation (7 files),/agent/workspace/user_socials/,,"combo.jpg, d1a/b/c.jpg, f2a/b/c.jpg - screenshots documenting the real social media accounts (TikTok @vibencry, @untechnicalsf, YouTube Lynk_Systemz, etc.)."
